# unfoldingWord/en_ult 24-JER.usfm @ 127cc1f3696994d967fc25fdd28a3a55d111132e
# Fixes s5 markers — Richard Mahn, fetched from git.door43.org 2026-08-24
# Every line below is REAL: the line number and the real line text up to the
# end of its last \c / \v marker. Nothing else in the file affects the
# hunk -> verse mapping, so the test rebuilds a stand-in file of exactly
# 43152 lines with these markers at these line numbers.
lines	43152
32643	\v 12
32672	\v 13
32705	\v 14
32730	\v 15
32755	\v 16
32823	\v 17
32840	\v 18
32877	\c 42
32879	\v 1
32907	\v 2
32938	\v 3
32957	\v 4
32993	\v 5
33020	\v 6
33064	\v 7
33077	\v 8
33103	\v 9
33127	\v 10
33170	\v 11
33201	\v 12
33224	\v 13
33248	\v 14
33291	\v 15
33323	\v 16
33355	\v 17
33402	\v 18
33469	\v 19
33498	\v 20
33533	\v 21
33562	\v 22
33589	\c 43
33591	\v 1
33617	\v 2
33652	\v 3
33686	\v 4
33714	\v 5
33749	\v 6
33794	\v 7
33814	\v 8
33825	\v 9
33857	\v 10
33905	\v 11
33949	\v 12
33994	\v 13
34017	\c 44
34019	\v 1
34046	\v 2
34083	\v 3
34120	\v 4
34144	\v 5
34165	\v 6
34201	\v 7
34246	\v 8
34305	\v 9
34347	\v 10
34380	\v 11
34409	\v 12
34484	\v 13
34509	\v 14
34562	\v 15
34601	\v 16
34618	\v 17
34682	\v 18
34717	\v 19
34762	\v 20
34783	\v 21
34828	\v 22
34872	\v 23
34911	\v 24
34936	\v 25
34993	\v 26
35051	\v 27
35083	\v 28
35133	\v 29
35165	\v 30
35223	\c 45
35225	\v 1
35267	\v 2
35276	\v 3
35300	\v 4
35334	\v 5
35374	\c 46
35376	\v 1
35391	\v 2
35433	\q1 \v 3
35447	\q1 \v 4
35476	\q1 \v 5
35512	\q1 \v 6
35535	\q1 \v 7
35552	\q1 \v 8
35583	\q1 \v 9
35613	\q1 \v 10
35672	\q1 \v 11
35699	\q1 \v 12
35726	\v 13
35748	\q1 \v 14
35775	\q1 \v 15
35797	\q1 \v 16
35842	\q1 \v 17
35863	\q1 \v 18
35886	\q1 \v 19
35918	\q1 \v 20
35937	\q1 \v 21
35977	\q1 \v 22
36003	\q1 \v 23
36029	\q1 \v 24
36052	\v 25
36083	\v 26
36125	\v 27
36177	\v 28
36227	\c 47
36229	\v 1
36253	\q1 \v 2
36304	\q1 \v 3
36338	\q1 \v 4
36380	\v 5
36408	\q1 \v 6
36430	\q1 \v 7
36455	\c 48
36457	\v 1
36488	\q1 \v 2
36524	\q1 \v 3
36540	\q1 \v 4
36551	\q1 \v 5
36575	\q1 \v 6
36588	\q1 \v 7
36619	\q1 \v 8
36646	\q1 \v 9
36671	\q1 \v 10
36696	\q1 \v 11
36735	\q1 \v 12
36766	\q1 \v 13
36787	\q1 \v 14
36798	\q1 \v 15
36830	\q1 \v 16
36840	\q1 \v 17
36867	\q1 \v 18
36901	\q1 \v 19
36924	\q1 \v 20
36954	\q1 \v 21
36967	\q1 \v 22
36973	\q1 \v 23
36980	\q1 \v 24
37000	\q1 \v 25
37019	\v 26
37042	\v 27
37075	\q1 \v 28
37102	\q1 \v 29
37123	\v 30
37140	\q1 \v 31
37167	\q1 \v 32
37206	\q1 \v 33
37252	\v 34
37283	\v 35
37311	\v 36
37339	\v 37
37361	\v 38
37389	\q1 \v 39
37426	\v 40
37444	\q1 \v 41
37475	\q1 \v 42
37495	\q1 \v 43
37512	\q1 \v 44
37557	\q1 \v 45
37603	\q1 \v 46
37623	\q1 \v 47
37645	\c 49
37646	\q1 \v 1
37681	\q1 \v 2
37731	\q1 \v 3
37766	\q1 \v 4
37795	\q1 \v 5
37841	\q1 \v 6
37859	\q1 \v 7
37890	\q1 \v 8
37921	\q1 \v 9
37951	\q1 \v 10
37985	\q1 \v 11
38006	\v 12
38040	\v 13
38073	\q1 \v 14
38098	\q1 \v 15
38115	\q1 \v 16
38161	\q1 \v 17
38183	\q1 \v 18
38207	\q1 \v 19
38266	\q1 \v 20
38308	\q1 \v 21
38329	\q1 \v 22
38367	\q1 \v 23
38395	\q1 \v 24
38421	\q1 \v 25
38437	\q1 \v 26
38463	\q1 \v 27
38486	\v 28
38519	\q1 \v 29
38557	\q1 \v 30
38587	\q1 \v 31
38615	\q1 \v 32
38659	\q1 \v 33
38683	\v 34
38713	\v 35
38734	\q1 \v 36
38776	\q1 \v 37
38819	\q1 \v 38
38839	\q1 \v 39
38860	\c 50
38862	\v 1
38883	\q1 \v 2
38927	\q1 \v 3
38955	\q1 \v 4
38985	\q1 \v 5
39019	\v 6
39054	\q1 \v 7
39083	\q1 \v 8
39110	\q1 \v 9
39156	\q1 \v 10
39173	\q1 \v 11
39198	\q1 \v 12
39229	\q1 \v 13
39263	\q1 \v 14
39293	\q1 \v 15
39331	\q1 \v 16
39374	\q1 \v 17
39401	\v 18
39434	\q1 \v 19
39461	\q1 \v 20
39506	\q1 \v 21
39539	\q1 \v 22
39552	\q1 \v 23
39575	\q1 \v 24
39604	\q1 \v 25
39635	\q1 \v 26
39663	\q1 \v 27
39687	\q1 \v 28
39722	\q1 \v 29
39766	\q1 \v 30
39793	\q1 \v 31
39823	\q1 \v 32
39853	\q1 \v 33
39885	\q1 \v 34
39923	\q1 \v 35
39944	\q1 \v 36
39967	\q1 \v 37
40008	\q1 \v 38
40039	\q1 \v 39
40076	\q1 \v 40
40102	\q1 \v 41
40127	\q1 \v 42
40169	\q1 \v 43
40195	\q1 \v 44
40255	\q1 \v 45
40296	\q1 \v 46
40317	\c 51
40318	\q1 \v 1
40342	\q1 \v 2
40372	\q1 \v 3
40400	\q1 \v 4
40423	\q1 \v 5
40451	\q1 \v 6
40486	\q1 \v 7
40509	\q1 \v 8
40532	\q1 \v 9
40569	\q1 \v 10
40588	\q1 \v 11
40626	\q1 \v 12
40659	\q1 \v 13
40688	\q1 \v 14
40718	\q1 \v 15
40743	\q1 \v 16
40781	\q1 \v 17
40810	\q1 \v 18
40826	\q1 \v 19
40859	\q1 \v 20
40877	\q1 \v 21
40897	\q1 \v 22
40928	\q1 \v 23
40959	\q1 \v 24
40988	\q1 \v 25
41024	\q1 \v 26
41052	\q1 \v 27
